Title,Price,Location/Date,Area,Link
RENTAROOM.PL ENG RUS studio Monopolis ul.Piłsudskiego,1 400 zł,"Łódź, Śródmieście - Odświeżono dnia 25 kwietnia 2023",22 m²,/d/oferta/rentaroom-pl-eng-rus-studio-monopolis-ul-pilsudskiego-CID3-IDI2MQw.html
Kawalerka w centrum Łodzi 20 m2 - Kilińskiego 16,1 500 zł,"Łódź, Śródmieście - Odświeżono dnia 24 kwietnia 2023",20 m²,/d/oferta/kawalerka-w-centrum-lodzi-20-m2-kilinskiego-16-CID3-IDJeYt6.html
Kawalerka 32m2 Łódź Klonowa BEZ PROWIZJI po gen. remoncie KLIMA,1 600 zł,"Łódź, Bałuty - Odświeżono dnia 23 kwietnia 2023",32 m²,/d/oferta/kawalerka-32m2-lodz-klonowa-bez-prowizji-po-gen-remoncie-klima-CID3-IDTSRyV.html
"Kawalerka o wysokim standardzie z klimatyzacją, Drewnowska 77",2 000 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 09:05",30 m²,/d/oferta/kawalerka-o-wysokim-standardzie-z-klimatyzacja-drewnowska-77-CID3-IDTZA6h.html
"Mieszkanie dwupokojowe przy ulicy Zacisze 2, Od 1 kwietnia!",1 650 zł,"Łódź, Śródmieście - Dzisiaj o 08:56",46 m²,/d/oferta/mieszkanie-dwupokojowe-przy-ulicy-zacisze-2-od-1-kwietnia-CID3-IDOKs0s.html
Wynajem! Duże mieszkanie w dzielnicy Łódź-Widzew. Wyposażone.,2 000 zł,"Łódź, Widzew - Odświeżono Dzisiaj o 08:52",56 m²,/d/oferta/wynajem-duze-mieszkanie-w-dzielnicy-lodz-widzew-wyposazone-CID3-IDTy2Dq.html
"Mieszkanie na wynajem w zielonej okolicy, blisko centrum",2 200 zł,"Łódź, Bałuty - Dzisiaj o 08:52",55 m²,/d/oferta/mieszkanie-na-wynajem-w-zielonej-okolicy-blisko-centrum-CID3-IDUhxKn.html
Mieszkanie 2 pokoje/Łódź Widzew/55 m2/dla rodzin również z Ukrainy,1 700 złdo negocjacji,"Łódź, Widzew - Odświeżono Dzisiaj o 08:48",62 m²,/d/oferta/mieszkanie-2-pokoje-lodz-widzew-55-m2-dla-rodzin-rowniez-z-ukrainy-CID3-IDTPXlL.html
"Mieszkanie w Centrum, EC1",2 200 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 08:44",87 m²,/d/oferta/mieszkanie-w-centrum-ec1-CID3-IDSXFPJ.html
Kawalerka w idealnym miejscu,1 500 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 08:40",28 m²,/d/oferta/kawalerka-w-idealnym-miejscu-CID3-IDMpT0I.html
Mieszkanie M4 na wynajem KLIMA 3 pokoje ul. Retkińska 56 m Retkinia,2 400 zł,"Łódź, Polesie - Odświeżono Dzisiaj o 08:16",56 m²,/d/oferta/mieszkanie-m4-na-wynajem-klima-3-pokoje-ul-retkinska-56-m-retkinia-CID3-IDTWA43.html
"M4 Chojny (również studenci)wynajem okazjonalny,notarialny w j.polskim",2 000 zł,"Łódź, Górna - Dzisiaj o 08:10","62,50 m²",/d/oferta/m4-chojny-rowniez-studenciwynajem-okazjonalny-notarialny-w-j-polskim-CID3-IDTH1Vu.html
Nowoczesne mieszkanie w centrum Łodzi/ APARTAMENT IN THE CENTER,5 000 złdo negocjacji,"Łódź, Śródmieście - Dzisiaj o 08:09","70,47 m²",/d/oferta/nowoczesne-mieszkanie-w-centrum-lodzi-apartament-in-the-center-CID3-IDTaKCt.html
Kilińskiego 16 / Kamienica Łódzka / Kawalerka,1 400 zł,"Łódź, Śródmieście - Odświeżono dnia 24 kwietnia 2023",18 m²,/d/oferta/kilinskiego-16-kamienica-lodzka-kawalerka-CID3-IDUccnA.html
"Na wynajem Duża kawalerka w przytulnej okolicy, Radogoszcz zachód",1 400 zł,"Łódź, Bałuty - Odświeżono dnia 25 kwietnia 2023",31 m²,/d/oferta/na-wynajem-duza-kawalerka-w-przytulnej-okolicy-radogoszcz-zachod-CID3-IDJxPH9.html
"Nowe 3 pokoje w świetnej lokalizacji, faktura",2 950 zł,"Łódź, Polesie - Odświeżono dnia 25 kwietnia 2023",56 m²,/d/oferta/nowe-3-pokoje-w-swietnej-lokalizacji-faktura-CID3-IDTTQ6q.html
Mieszkanie Rozkładowe w doskonałej lokalizacji,2 000 zł,"Łódź, Widzew - Dzisiaj o 08:04",43 m²,/d/oferta/mieszkanie-rozkladowe-w-doskonalej-lokalizacji-CID3-IDTLBHE.html
"Kawalerka na wynajem od zaraz, Ciołkowskiego 5",1 500 zł,"Łódź, Górna - Dzisiaj o 07:58","34,50 m²",https://www.otodom.pl/pl/oferta/kawalerka-na-wynajem-od-zaraz-ciolkowskiego-5-ID4lfI7.html
kawalerka okolice szpitala Kopernika na wynajem,1 300 zł,"Łódź, Górna - Dzisiaj o 07:36",38 m²,/d/oferta/kawalerka-okolice-szpitala-kopernika-na-wynajem-CID3-IDNFN4Y.html
"Nowa, przytulna kawalerka od projektanta",1 590 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 07:36",25 m²,/d/oferta/nowa-przytulna-kawalerka-od-projektanta-CID3-IDUevM5.html
przy Parku na Zdrowiu,3 400 zł,"Łódź, Polesie - Dzisiaj o 07:31",66 m²,https://www.otodom.pl/pl/oferta/przy-parku-na-zdrowiu-ID4leub.html
"Świetna kawalerka, świeżo po remoncie!",1 500 zł,"Łódź, Bałuty - Dzisiaj o 07:29","29,64 m²",https://www.otodom.pl/pl/oferta/swietna-kawalerka-swiezo-po-remoncie-ID4kgw5.html
Kawalerka19-26m2.Zostań pierwszym lokatorem:)Ścisłe-Centrum.,1 700 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 07:17",20 m²,/d/oferta/kawalerka19-26m2-zostan-pierwszym-lokatoremscisle-centrum-CID3-IDPag9C.html
Pokój do wynajecia,900 zł,"Łódź, Widzew - Dzisiaj o 07:04",14 m²,/d/oferta/pokoj-do-wynajecia-CID3-IDUhqPe.html
Wysokie jasne 2 pokojowe w Centrum - REZERWACJA,2 200 zł,"Łódź, Śródmieście - Dzisiaj o 07:00",45 m²,https://www.otodom.pl/pl/oferta/wysokie-jasne-2-pokojowe-w-centrum-rezerwacja-ID4l797.html
"Dwupokojowe mieszkanie do wynajęcia, Apartamenty Zagajnikowa",2 200 zł,"Łódź, Bałuty - Dzisiaj o 06:56",40 m²,/d/oferta/dwupokojowe-mieszkanie-do-wynajecia-apartamenty-zagajnikowa-CID3-IDUhqrd.html
"Przestronne mieszkanie z sypialnią 34m, winda, balkon, widok, bezpośr.",1 690 zł,"Łódź, Górna - Odświeżono dnia 23 kwietnia 2023",33 m²,/d/oferta/przestronne-mieszkanie-z-sypialnia-34m-winda-balkon-widok-bezposr-CID3-IDN963F.html
Wynajmij bez pośredników! Mieszkanie 2pokojwe z tarasem,2 250 zł,"Łódź, Śródmieście - 25 kwietnia 2023","44,20 m²",/d/oferta/wynajmij-bez-posrednikow-mieszkanie-2pokojwe-z-tarasem-CID3-IDUgGh2.html
małe przytulne nowe na poddaszu Julianów,1 200 zł,"Łódź, Bałuty - Odświeżono dnia 24 kwietnia 2023",25 m²,/d/oferta/male-przytulne-nowe-na-poddaszu-julianow-CID3-IDUdYqu.html
Kawalerka Świeżo po Remoncie,1 150 zł,"Łódź, Widzew - Odświeżono Dzisiaj o 06:46",1 m²,/d/oferta/kawalerka-swiezo-po-remoncie-CID3-IDUcRKh.html
Kawalerka do wynajęcia,1 450 zł,"Łódź, Bałuty - Odświeżono Dzisiaj o 06:07",35 m²,/d/oferta/kawalerka-do-wynajecia-CID3-IDU92ZF.html
2700 mieszkanie za wszystko Piotrkowska,2 700 zł,"Łódź, Śródmieście - Dzisiaj o 05:50",64 m²,/d/oferta/2700-mieszkanie-za-wszystko-piotrkowska-CID3-IDUhnVe.html
Wynajmę rozkładowe 2 pokojowe mieszkanie z balkonem ul. Czernika,1 600 zł,"Łódź, Widzew - Dzisiaj o 05:46",45 m²,/d/oferta/wynajme-rozkladowe-2-pokojowe-mieszkanie-z-balkonem-ul-czernika-CID3-IDHfXZL.html
Wynajmę Łódź -Śródmieście ul. Piramowicza,2 200 zł,"Łódź, Śródmieście - Odświeżono Dzisiaj o 05:15",58 m²,/d/oferta/wynajme-lodz-srodmiescie-ul-piramowicza-CID3-IDOhe2W.html
"Do wynajęcia, 2 pokoje, Styrska 1, lumumby, radiostacja,AZS",1 700 złdo negocjacji,"Łódź, Śródmieście - Dzisiaj o 04:47",53 m²,/d/oferta/do-wynajecia-2-pokoje-styrska-1-lumumby-radiostacja-azs-CID3-IDI7B45.html
"Do wynajęcia 3 rozkładowe pokoje 62 m, parter, blok ul. Franciszkańska",1 900 złdo negocjacji,"Łódź, Bałuty - Dzisiaj o 04:31",62 m²,/d/oferta/do-wynajecia-3-rozkladowe-pokoje-62-m-parter-blok-ul-franciszkanska-CID3-IDTdo9o.html
"Mieszkanie Łódź Bałuty, ul. Pojezierska",3 000 złdo negocjacji,"Łódź, Bałuty - Odświeżono Dzisiaj o 01:12",60 m²,/d/oferta/mieszkanie-lodz-baluty-ul-pojezierska-CID3-IDUbIln.html
Wygodne Mieszkanie w centrum Łodzi,1 450 złdo negocjacji,"Łódź, Śródmieście - Odświeżono dnia 25 kwietnia 2023",26 m²,/d/oferta/wygodne-mieszkanie-w-centrum-lodzi-CID3-IDSiKsK.html
Kawalerka 32m do wynajęcia od 1.05.2023,1 350 zł,"Łódź, Polesie - Odświeżono dnia 25 kwietnia 2023",32 m²,/d/oferta/kawalerka-32m-do-wynajecia-od-1-05-2023-CID3-IDU4mIT.html
RENTAROOM.PL ENG RUS Politechnika ul.Obywatelska od 1.05,1 400 zł,"Łódź, Bałuty - Odświeżono dnia 23 kwietnia 2023",20 m²,/d/oferta/rentaroom-pl-eng-rus-politechnika-ul-obywatelska-od-1-05-CID3-IDJhfiL.html
Wynajme mieszkanie,3 000 zł,"Łódź, Polesie - Odświeżono dnia 24 kwietnia 2023",60 m²,/d/oferta/wynajme-mieszkanie-CID3-IDUd5wm.html
Kwatery pracownicze dla maks 31 osób - samodzielne mieszkania,540 zł,"Łódź, Górna - Odświeżono dnia 24 kwietnia 2023",230 m²,/d/oferta/kwatery-pracownicze-dla-maks-31-osob-samodzielne-mieszkania-CID3-IDPaZLV.html
Wynajmę dwupokojowe mieszkanie na Olechowie,2 000 zł,"Łódź, Widzew - Odświeżono dnia 25 kwietnia 2023",51 m²,/d/oferta/wynajme-dwupokojowe-mieszkanie-na-olechowie-CID3-IDQA9DR.html
Kawalerka/ Centrum / Nowe budownictwo,1 550 zł,"Łódź, Śródmieście - 25 kwietnia 2023",26 m²,/d/oferta/kawalerka-centrum-nowe-budownictwo-CID3-IDUhjM9.html
2 pokoje w nowym Apartamentowcu/ ul.Sucha,2 150 zł,"Łódź, Widzew - 25 kwietnia 2023",40 m²,https://www.otodom.pl/pl/oferta/2-pokoje-w-nowym-apartamentowcu-ul-sucha-ID4kRQH.html
Kawalerka/Centrum/Narutowicza,1 300 zł,"Łódź, Śródmieście - 25 kwietnia 2023",25 m²,/d/oferta/kawalerka-centrum-narutowicza-CID3-IDUhjv6.html
Kawalerka/ Bałuty / Łagiewnicka,1 400 zł,"Łódź, Bałuty - 25 kwietnia 2023",20 m²,/d/oferta/kawalerka-baluty-lagiewnicka-CID3-IDUhjfW.html
Nowoczesny apartament w centrum,2 000 zł,"Łódź, Śródmieście - Odświeżono dnia 25 kwietnia 2023",35 m²,/d/oferta/nowoczesny-apartament-w-centrum-CID3-IDTZEoe.html
Mieszkanie z oddzielną sypialnią i ogródkiem/tarasem - bezpośrednio,2 250 zł,"Łódź, Widzew - Odświeżono dnia 25 kwietnia 2023",44 m²,/d/oferta/mieszkanie-z-oddzielna-sypialnia-i-ogrodkiem-tarasem-bezposrednio-CID3-IDU6e52.html
3 pokoje/ Bałuty / Łagiewnicka,1 400 zł,"Łódź, Bałuty - 25 kwietnia 2023",57 m²,/d/oferta/3-pokoje-baluty-lagiewnicka-CID3-IDUhj23.html
Mieszkanie na wynajem Plac Wolności 3-pokoje widok na Piotrkowską,3 500 zł,"Łódź, Śródmieście - 25 kwietnia 2023",57 m²,/d/oferta/mieszkanie-na-wynajem-plac-wolnosci-3-pokoje-widok-na-piotrkowska-CID3-IDTPBTz.html
Kawalerka komfortowa całość kosztów,990 zł,"Łódź, Bałuty - Odświeżono dnia 25 kwietnia 2023",24 m²,/d/oferta/kawalerka-komfortowa-calosc-kosztow-CID3-IDPR04j.html
******,******,******,******,******
